Nombre del vehículo,Velocidad Máxima (Km/h),Aceleración 0 a 100 Km/h (seg),Rango (Km),Carga rápida (Km/h),Europa (€)
Skoda Enyaq Coupe 85x,180.0,6.6,470.0,700.0,51852.5
BMW i5 xDrive40 Sedan,215.0,5.4,455.0,730.0,77913.5
NIO EL7 100 kWh,200.0,3.9,430.0,450.0,96400.0
Hongqi E-HS9 120 kWh,200.0,4.9,460.0,420.0,102995.0
Genesis G80 Electrified Luxury,225.0,4.9,440.0,880.0,69502.5
Opel Corsa Electric 51 kWh,150.0,8.1,315.0,490.0,37173.0
Volvo EC40 Twin Motor,180.0,4.8,400.0,600.0,59547.5
Mini Countryman SE ALL4,180.0,5.6,370.0,500.0,48723.333333333336
MG MG5 Electric Standard Range,185.0,7.7,265.0,320.0,35687.5
Maserati Grecale Folgore,220.0,4.1,405.0,440.0,119602.0
Volkswagen ID. Buzz LWB Pro S,160.0,8.0,370.0,470.0,70333.33333333333
Renault Megane E-Tech EV60 130hp,150.0,10.5,380.0,530.0,43185.0
Citroen e-C4 X 54 kWh,150.0,10.0,330.0,470.0,41110.0
Polestar 2 Long Range Performance,205.0,4.2,450.0,670.0,59475.0
XPENG G9 AWD Performance,200.0,3.9,465.0,1080.0,71394.0
Mercedes-Benz EQE SUV 350 4MATIC,210.0,6.6,435.0,550.0,94318.5
Nissan Ariya e-4ORCE 87kWh - 225 kW,200.0,5.7,405.0,480.0,55941.666666666664
NIO ET5 Touring 100 kWh,200.0,4.0,485.0,700.0,70700.0
Nissan Townstar EV Passenger,132.0,12.6,225.0,230.0,39990.0
Renault 5 E-Tech 40kWh 120hp,140.0,9.0,260.0,340.0,26666.666666666668
Volvo EX90 Twin Motor Performance,180.0,4.9,450.0,590.0,98616.66666666667
Mercedes-Benz EQS SUV Maybach 680,210.0,4.4,490.0,620.0,205804.66666666666
Peugeot e-308 SW,150.0,9.0,300.0,450.0,43195.0
Mercedes-Benz EQS SUV 580 4MATIC,210.0,4.7,530.0,670.0,153739.33333333334
Smart #3 Pro,180.0,5.9,265.0,340.0,37295.0
Volkswagen ID.3 GTX Performance,200.0,5.6,460.0,690.0,52000.0
Fiat 500e Hatchback 24 kWh,135.0,9.0,135.0,230.0,29391.666666666668
Kia e-Soul 64 kWh,167.0,7.9,370.0,350.0,43262.5
CUPRA Tavascan Endurance,180.0,6.8,450.0,670.0,52333.333333333336
Porsche Taycan Turbo S,260.0,2.4,500.0,1100.0,196733.33333333334
DS 3 E-Tense,150.0,9.0,300.0,480.0,39126.666666666664
Fiat 500e 3+1 42 kWh,150.0,9.0,235.0,390.0,36240.0
Mercedes-Benz EQA 300 4MATIC,160.0,7.7,350.0,500.0,56239.5
Lexus UX 300e,160.0,7.5,340.0,170.0,47495.0
Mercedes-Benz EQE 350,210.0,6.4,515.0,650.0,77192.66666666667
Opel Mokka-e 54 kWh,150.0,9.0,290.0,460.0,39993.0
Volkswagen ID.5 GTX,180.0,5.5,430.0,640.0,58270.0
Smart #1 Pro,180.0,6.7,250.0,320.0,34720.0
Mercedes-Benz EQS SUV 450 4MATIC,210.0,6.1,530.0,670.0,124579.66666666667
Citroen e-C4 54 kWh,150.0,10.0,330.0,470.0,40690.0
Mercedes-Benz EQS AMG 53 4MATIC+,250.0,3.4,535.0,800.0,164417.0
Mercedes-Benz EQE AMG 43 4MATIC,210.0,4.2,450.0,670.0,107912.0
Lotus Eletre S,250.0,4.5,480.0,1000.0,117295.0
Citroen e-Berlingo XL 50 kWh,132.0,11.7,230.0,340.0,37669.333333333336
Polestar 3 Long Range Performance,210.0,4.7,470.0,610.0,89080.0
Volvo EC40 Single Motor,180.0,7.3,360.0,560.0,51913.333333333336
Mercedes-Benz EQE SUV 500 4MATIC,210.0,4.9,455.0,630.0,108298.0
Ford Mustang Mach-E SR AWD,180.0,6.2,350.0,430.0,59400.0
Porsche Taycan 4S,250.0,3.7,475.0,1050.0,114533.33333333333
Lotus Emeya S,250.0,4.2,530.0,1230.0,122096.66666666667
Mercedes-Benz EQE SUV 300,210.0,7.6,450.0,570.0,83479.0
Genesis GV70 Electrified Sport,235.0,4.2,350.0,860.0,66202.5
Mercedes-Benz EQE 350 4MATIC,210.0,6.3,510.0,640.0,80206.0
Zeekr 001 Privilege AWD,200.0,3.8,495.0,670.0,68730.0
BYD DOLPHIN 44.9 kWh Boost,160.0,8.0,255.0,260.0,30496.666666666668
NIO ET5 75 kWh,200.0,4.0,395.0,590.0,61100.0
Citroen e-Berlingo M 50 kWh,132.0,11.7,235.0,350.0,36429.333333333336
Peugeot e-3008 73 kWh Dual Motor,180.0,6.4,380.0,440.0,49333.333333333336
Audi Q4 Sportback e-tron 45 quattro,180.0,6.6,415.0,620.0,56513.333333333336
Mercedes-Benz EQE SUV 350+,210.0,6.9,475.0,660.0,89380.5
CUPRA Born 170 kW - 58 kWh,160.0,6.6,345.0,460.0,39648.0
Smart #3 Pro+,180.0,5.8,355.0,550.0,41295.0
Mercedes-Benz EQV 300 Long,160.0,12.1,315.0,320.0,83837.0
Lotus Emeya R,256.0,2.8,470.0,1090.0,145756.66666666666
Mercedes-Benz EQS 500 4MATIC,210.0,4.8,590.0,880.0,135384.0
Volvo EX40 Twin Motor Performance,180.0,4.6,380.0,570.0,61192.5
Smart #1 Premium,180.0,6.7,335.0,520.0,42945.0
Mercedes-Benz EQE 500 4MATIC,210.0,4.7,505.0,750.0,100851.5
Volvo EX90 Single Motor,180.0,8.4,460.0,600.0,83597.5
Volvo EC40 Twin Motor Performance,180.0,4.6,400.0,600.0,62692.5
XPENG P7 AWD Performance,200.0,4.1,460.0,740.0,59894.0
Skoda Enyaq RS,180.0,5.5,435.0,650.0,57085.0
Mercedes-Benz EQT 200 Standard,132.0,12.6,225.0,230.0,48599.0
Porsche Taycan Plus Sport Turismo,230.0,4.8,515.0,1130.0,104674.0
Audi Q4 Sportback e-tron 55 quattro,180.0,5.4,415.0,620.0,62096.666666666664
Mercedes-Benz EQS SUV 500 4MATIC,210.0,5.3,530.0,670.0,136359.0
Fiat 500e Cabrio 42 kWh,150.0,9.0,230.0,380.0,36558.333333333336
Kia e-Soul 39.2 kWh,157.0,9.9,230.0,200.0,32875.0
VinFast VF 8 Eco Extended Range,200.0,5.9,425.0,550.0,53445.0
Mercedes-Benz EQA 350 4MATIC,160.0,6.0,350.0,500.0,59414.0
Nissan Ariya e-4ORCE 87kWh - 290 kW,200.0,5.1,405.0,480.0,68240.0
Abarth 500e Hatchback,155.0,7.0,225.0,370.0,36891.666666666664
Mercedes-Benz EQE AMG 53 4MATIC+,220.0,3.5,450.0,670.0,118023.0
Audi SQ8 e-tron Sportback,210.0,4.5,480.0,610.0,99861.66666666667
Porsche Taycan 4 Cross Turismo,220.0,4.7,505.0,1110.0,109766.66666666667
BMW i5 M60 xDrive Touring,230.0,3.9,415.0,670.0,103990.66666666667
Porsche Taycan 4S Cross Turismo,240.0,3.8,505.0,1110.0,119800.0
Mercedes-Benz EQE SUV AMG 43 4MATIC,210.0,4.3,415.0,620.0,127855.5
Peugeot e-5008 73 kWh Dual Motor,170.0,6.0,365.0,420.0,53666.666666666664
GWM ORA 3 GT,160.0,8.2,325.0,280.0,49490.0
Audi Q8 e-tron Sportback 50 quattro,200.0,6.0,445.0,690.0,73578.33333333333
Mercedes-Benz eVito Tourer Long 90 kWh,160.0,12.1,320.0,320.0,78408.0
Skoda Enyaq Coupe 60,160.0,8.8,355.0,480.0,47420.0
Mercedes-Benz EQE SUV AMG 53 4MATIC+,240.0,3.5,410.0,610.0,144613.0
Volkswagen ID. Buzz LWB Pro,160.0,7.9,335.0,460.0,67333.33333333333
Elaris BEO 86 kWh,150.0,8.0,390.0,290.0,53090.0
Smart #1 Pulse,180.0,4.5,325.0,500.0,46272.5
Porsche Taycan Turbo,260.0,2.7,520.0,1140.0,164233.33333333334
NIO ET5 Touring 75 kWh,200.0,4.0,385.0,570.0,61700.0
